id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	B|B	B|CD14+ Mono	B|CD8 T	B|DC	B|FCGR3A+ Mono	B|Memory CD4 T	B|NK	B|Naive CD4 T	B|Platelet	CD14+ Mono|B	CD14+ Mono|CD14+ Mono	CD14+ Mono|CD8 T	CD14+ Mono|DC	CD14+ Mono|FCGR3A+ Mono	CD14+ Mono|Memory CD4 T	CD14+ Mono|NK	CD14+ Mono|Naive CD4 T	CD14+ Mono|Platelet	CD8 T|B	CD8 T|CD14+ Mono	CD8 T|CD8 T	CD8 T|DC	CD8 T|FCGR3A+ Mono	CD8 T|Memory CD4 T	CD8 T|NK	CD8 T|Naive CD4 T	CD8 T|Platelet	DC|B	DC|CD14+ Mono	DC|CD8 T	DC|DC	DC|FCGR3A+ Mono	DC|Memory CD4 T	DC|NK	DC|Naive CD4 T	DC|Platelet	FCGR3A+ Mono|B	FCGR3A+ Mono|CD14+ Mono	FCGR3A+ Mono|CD8 T	FCGR3A+ Mono|DC	FCGR3A+ Mono|FCGR3A+ Mono	FCGR3A+ Mono|Memory CD4 T	FCGR3A+ Mono|NK	FCGR3A+ Mono|Naive CD4 T	FCGR3A+ Mono|Platelet	Memory CD4 T|B	Memory CD4 T|CD14+ Mono	Memory CD4 T|CD8 T	Memory CD4 T|DC	Memory CD4 T|FCGR3A+ Mono	Memory CD4 T|Memory CD4 T	Memory CD4 T|NK	Memory CD4 T|Naive CD4 T	Memory CD4 T|Platelet	NK|B	NK|CD14+ Mono	NK|CD8 T	NK|DC	NK|FCGR3A+ Mono	NK|Memory CD4 T	NK|NK	NK|Naive CD4 T	NK|Platelet	Naive CD4 T|B	Naive CD4 T|CD14+ Mono	Naive CD4 T|CD8 T	Naive CD4 T|DC	Naive CD4 T|FCGR3A+ Mono	Naive CD4 T|Memory CD4 T	Naive CD4 T|NK	Naive CD4 T|Naive CD4 T	Naive CD4 T|Platelet	Platelet|B	Platelet|CD14+ Mono	Platelet|CD8 T	Platelet|DC	Platelet|FCGR3A+ Mono	Platelet|Memory CD4 T	Platelet|NK	Platelet|Naive CD4 T	Platelet|Platelet
CPI-SS0A76A8E97	HLA-F_LILRB2	simple:P30511	simple:Q8N423	ENSG00000204642	ENSG00000274513	False	False	True	curated	False	0.0	0.3	0.0	0.439	1.01	0.23	0.24	0.25	0.291	0.0	0.29	0.0	0.429	1.0	0.22	0.23	0.24	0.281	0.0	0.49	0.0	0.629	1.2	0.42	0.43	0.44	0.481	0.0	0.252	0.0	0.391	0.962	0.182	0.192	0.202	0.243	0.0	0.38	0.0	0.519	1.09	0.31	0.32	0.33	0.371	0.0	0.23	0.0	0.369	0.94	0.16	0.17	0.18	0.221	0.0	0.44	0.0	0.579	1.15	0.37	0.38	0.39	0.431	0.0	0.31	0.0	0.449	1.02	0.24	0.25	0.26	0.301	0.0	0.259	0.0	0.397	0.969	0.189	0.199	0.209	0.25
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	ENSG00000204642	ENSG00000104972	True	False	True	curated	False	0.24	0.33	0.0	0.267	0.57	0.0	0.23	0.0	0.256	0.23	0.32	0.0	0.257	0.56	0.0	0.22	0.0	0.246	0.43	0.52	0.0	0.457	0.76	0.0	0.42	0.0	0.446	0.192	0.282	0.0	0.219	0.522	0.0	0.182	0.0	0.208	0.32	0.41	0.0	0.347	0.65	0.0	0.31	0.0	0.336	0.17	0.26	0.0	0.197	0.5	0.0	0.16	0.0	0.186	0.38	0.47	0.0	0.407	0.71	0.0	0.37	0.0	0.396	0.25	0.34	0.0	0.277	0.58	0.0	0.24	0.0	0.266	0.199	0.289	0.0	0.225	0.529	0.0	0.189	0.0	0.214
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	ENSG00000204642	ENSG00000277134	True	False	True	curated	False	0.24	0.33	0.0	0.267	0.57	0.0	0.23	0.0	0.256	0.23	0.32	0.0	0.257	0.56	0.0	0.22	0.0	0.246	0.43	0.52	0.0	0.457	0.76	0.0	0.42	0.0	0.446	0.192	0.282	0.0	0.219	0.522	0.0	0.182	0.0	0.208	0.32	0.41	0.0	0.347	0.65	0.0	0.31	0.0	0.336	0.17	0.26	0.0	0.197	0.5	0.0	0.16	0.0	0.186	0.38	0.47	0.0	0.407	0.71	0.0	0.37	0.0	0.396	0.25	0.34	0.0	0.277	0.58	0.0	0.24	0.0	0.266	0.199	0.289	0.0	0.225	0.529	0.0	0.189	0.0	0.214
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	ENSG00000204642	ENSG00000274669	True	False	True	curated	False	0.24	0.33	0.0	0.267	0.57	0.0	0.23	0.0	0.256	0.23	0.32	0.0	0.257	0.56	0.0	0.22	0.0	0.246	0.43	0.52	0.0	0.457	0.76	0.0	0.42	0.0	0.446	0.192	0.282	0.0	0.219	0.522	0.0	0.182	0.0	0.208	0.32	0.41	0.0	0.347	0.65	0.0	0.31	0.0	0.336	0.17	0.26	0.0	0.197	0.5	0.0	0.16	0.0	0.186	0.38	0.47	0.0	0.407	0.71	0.0	0.37	0.0	0.396	0.25	0.34	0.0	0.277	0.58	0.0	0.24	0.0	0.266	0.199	0.289	0.0	0.225	0.529	0.0	0.189	0.0	0.214
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	ENSG00000204642	ENSG00000277807	True	False	True	curated	False	0.24	0.33	0.0	0.267	0.57	0.0	0.23	0.0	0.256	0.23	0.32	0.0	0.257	0.56	0.0	0.22	0.0	0.246	0.43	0.52	0.0	0.457	0.76	0.0	0.42	0.0	0.446	0.192	0.282	0.0	0.219	0.522	0.0	0.182	0.0	0.208	0.32	0.41	0.0	0.347	0.65	0.0	0.31	0.0	0.336	0.17	0.26	0.0	0.197	0.5	0.0	0.16	0.0	0.186	0.38	0.47	0.0	0.407	0.71	0.0	0.37	0.0	0.396	0.25	0.34	0.0	0.277	0.58	0.0	0.24	0.0	0.266	0.199	0.289	0.0	0.225	0.529	0.0	0.189	0.0	0.214
CPI-SS00150FB64	HLA-F_LILRB1	simple:P30511	simple:Q8NHL6	ENSG00000204642	ENSG00000276452	True	False	True	curated	False	0.24	0.33	0.0	0.267	0.57	0.0	0.23	0.0	0.256	0.23	0.32	0.0	0.257	0.56	0.0	0.22	0.0	0.246	0.43	0.52	0.0	0.457	0.76	0.0	0.42	0.0	0.446	0.192	0.282	0.0	0.219	0.522	0.0	0.182	0.0	0.208	0.32	0.41	0.0	0.347	0.65	0.0	0.31	0.0	0.336	0.17	0.26	0.0	0.197	0.5	0.0	0.16	0.0	0.186	0.38	0.47	0.0	0.407	0.71	0.0	0.37	0.0	0.396	0.25	0.34	0.0	0.277	0.58	0.0	0.24	0.0	0.266	0.199	0.289	0.0	0.225	0.529	0.0	0.189	0.0	0.214
CPI-SS014958F32	LGALS9_CD47	simple:O00182	simple:Q08722	ENSG00000168961	ENSG00000196776	True	False	True	InnateDB-All	False	0.28	0.24	0.29	0.484	0.43	0.89	0.42	0.26	0.497	0.35	0.31	0.36	0.554	0.5	0.96	0.49	0.33	0.567	0.18	0.14	0.19	0.384	0.33	0.79	0.32	0.16	0.397	0.718	0.678	0.728	0.922	0.868	1.328	0.858	0.698	0.935	0.5	0.46	0.51	0.704	0.65	1.11	0.64	0.48	0.717	0.23	0.19	0.24	0.434	0.38	0.84	0.37	0.21	0.447	0.22	0.18	0.23	0.424	0.37	0.83	0.36	0.2	0.437	0.16	0.12	0.17	0.364	0.31	0.77	0.3	0.14	0.377	0.211	0.171	0.221	0.415	0.361	0.821	0.351	0.191	0.429
CPI-SS02ACCF1F7	MIF_TNFRSF14	simple:P14174	simple:Q92956	ENSG00000240972	ENSG00000157873	True	False	True	I2D,IntAct	False	0.26	0.31	0.3	0.373	0.45	0.36	0.3	0.28	0.277	0.27	0.32	0.31	0.383	0.46	0.37	0.31	0.29	0.287	0.31	0.36	0.35	0.423	0.5	0.41	0.35	0.33	0.327	0.778	0.828	0.817	0.891	0.968	0.877	0.817	0.797	0.795	0.46	0.51	0.5	0.573	0.65	0.56	0.5	0.48	0.477	0.49	0.54	0.53	0.603	0.68	0.59	0.53	0.51	0.507	0.38	0.43	0.42	0.493	0.57	0.48	0.42	0.4	0.397	0.3	0.35	0.34	0.413	0.49	0.4	0.34	0.32	0.317	0.411	0.461	0.451	0.525	0.601	0.511	0.451	0.431	0.429
CPI-SS02ACCF1F7	MIF_TNFRSF14	simple:P14174	simple:Q92956	ENSG00000240972	ENSG00000273936	True	False	True	I2D,IntAct	False	0.26	0.31	0.3	0.373	0.45	0.36	0.3	0.28	0.277	0.27	0.32	0.31	0.383	0.46	0.37	0.31	0.29	0.287	0.31	0.36	0.35	0.423	0.5	0.41	0.35	0.33	0.327	0.778	0.828	0.817	0.891	0.968	0.877	0.817	0.797	0.795	0.46	0.51	0.5	0.573	0.65	0.56	0.5	0.48	0.477	0.49	0.54	0.53	0.603	0.68	0.59	0.53	0.51	0.507	0.38	0.43	0.42	0.493	0.57	0.48	0.42	0.4	0.397	0.3	0.35	0.34	0.413	0.49	0.4	0.34	0.32	0.317	0.411	0.461	0.451	0.525	0.601	0.511	0.451	0.431	0.429
CPI-SS02ACCF1F7	MIF_TNFRSF14	simple:P14174	simple:Q92956	ENSG00000276701	ENSG00000157873	True	False	True	I2D,IntAct	False	0.26	0.31	0.3	0.373	0.45	0.36	0.3	0.28	0.277	0.27	0.32	0.31	0.383	0.46	0.37	0.31	0.29	0.287	0.31	0.36	0.35	0.423	0.5	0.41	0.35	0.33	0.327	0.778	0.828	0.817	0.891	0.968	0.877	0.817	0.797	0.795	0.46	0.51	0.5	0.573	0.65	0.56	0.5	0.48	0.477	0.49	0.54	0.53	0.603	0.68	0.59	0.53	0.51	0.507	0.38	0.43	0.42	0.493	0.57	0.48	0.42	0.4	0.397	0.3	0.35	0.34	0.413	0.49	0.4	0.34	0.32	0.317	0.411	0.461	0.451	0.525	0.601	0.511	0.451	0.431	0.429
CPI-SS02ACCF1F7	MIF_TNFRSF14	simple:P14174	simple:Q92956	ENSG00000276701	ENSG00000273936	True	False	True	I2D,IntAct	False	0.26	0.31	0.3	0.373	0.45	0.36	0.3	0.28	0.277	0.27	0.32	0.31	0.383	0.46	0.37	0.31	0.29	0.287	0.31	0.36	0.35	0.423	0.5	0.41	0.35	0.33	0.327	0.778	0.828	0.817	0.891	0.968	0.877	0.817	0.797	0.795	0.46	0.51	0.5	0.573	0.65	0.56	0.5	0.48	0.477	0.49	0.54	0.53	0.603	0.68	0.59	0.53	0.51	0.507	0.38	0.43	0.42	0.493	0.57	0.48	0.42	0.4	0.397	0.3	0.35	0.34	0.413	0.49	0.4	0.34	0.32	0.317	0.411	0.461	0.451	0.525	0.601	0.511	0.451	0.431	0.429
CPI-SS0F739D3DB	ANXA1_FPR1	simple:P04083	simple:P21462	ENSG00000135046	ENSG00000171051	True	False	True	guidetopharmacology.org	False	0.1	0.29	0.0	0.205	0.37	0.0	0.0	0.0	0.116	0.88	1.07	0.0	0.985	1.15	0.0	0.0	0.0	0.896	0.84	1.03	0.0	0.945	1.11	0.0	0.0	0.0	0.856	3.879	4.069	0.0	3.984	4.149	0.0	0.0	0.0	3.895	1.03	1.22	0.0	1.135	1.3	0.0	0.0	0.0	1.046	1.26	1.45	0.0	1.365	1.53	0.0	0.0	0.0	1.276	0.76	0.95	0.0	0.865	1.03	0.0	0.0	0.0	0.776	0.63	0.82	0.0	0.735	0.9	0.0	0.0	0.0	0.646	0.163	0.353	0.0	0.268	0.433	0.0	0.0	0.0	0.179
CPI-SS087321EB5	SELL_SELPLG	simple:P14151	simple:Q14242	ENSG00000188404	ENSG00000110876	False	False	True	curated	False	1.1	1.16	1.15	1.269	1.31	1.17	1.21	1.14	1.157	0.21	0.27	0.26	0.379	0.42	0.28	0.32	0.25	0.267	0.31	0.37	0.36	0.479	0.52	0.38	0.42	0.35	0.367	0.769	0.829	0.819	0.938	0.979	0.839	0.879	0.809	0.826	0.3	0.36	0.35	0.469	0.51	0.37	0.41	0.34	0.357	0.48	0.54	0.53	0.649	0.69	0.55	0.59	0.52	0.537	0.7	0.76	0.75	0.869	0.91	0.77	0.81	0.74	0.757	0.59	0.65	0.64	0.759	0.8	0.66	0.7	0.63	0.647	0.157	0.217	0.207	0.326	0.367	0.227	0.267	0.197	0.214
CPI-SS01560CA22	CD99_PILRA	simple:P14209	simple:Q9UKJ1	ENSG00000002586	ENSG00000085514	True	False	True	curated	False	0.0	0.34	0.16	0.338	1.15	0.0	0.16	0.0	0.221	0.0	0.61	0.43	0.607	1.42	0.0	0.43	0.0	0.491	0.0	0.87	0.69	0.868	1.68	0.0	0.69	0.0	0.751	0.0	0.909	0.729	0.906	1.719	0.0	0.729	0.0	0.79	0.0	0.35	0.17	0.347	1.16	0.0	0.17	0.0	0.231	0.0	0.81	0.63	0.808	1.62	0.0	0.63	0.0	0.691	0.0	1.2	1.02	1.197	2.01	0.0	1.02	0.0	1.081	0.0	0.79	0.61	0.788	1.6	0.0	0.61	0.0	0.671	0.0	1.261	1.081	1.259	2.071	0.0	1.081	0.0	1.143
CPI-SS01946BE5C	C5AR1_RPS19	simple:P21730	simple:P39019	ENSG00000197405	ENSG00000105372	False	True	False	guidetopharmacology.org	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.04	5.18	6.95	13.633	17.71	9.94	4.35	9.29	3.466	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.891	5.031	6.801	13.484	17.561	9.791	4.201	9.141	3.317	8.33	5.47	7.24	13.923	18.0	10.23	4.64	9.58	3.756	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.87	5.01	6.78	13.463	17.54	9.77	4.18	9.12	3.296	7.967	5.107	6.877	13.56	17.637	9.867	4.277	9.217	3.393
